;Close
2020-01-06;324.83618
2020-01-07;300.6473
2020-01-08;330.78748
2020-01-09;315.7868
2020-01-10;335.00842
2020-01-13;302.32507
2020-01-14;352.14636
2020-01-15;337.69653
2020-01-16;340.73337
2020-01-17;326.33237
2020-01-20;317.85587
2020-01-21;316.70325
2020-01-22;342.5216
2020-01-23;292.87552
2020-01-24;371.9991
2020-01-27;284.69147
2020-01-28;347.51044
2020-01-29;335.89346
2020-01-30;338.5692
2020-01-31;337.9293
2020-02-03;283.2258
2020-02-04;320.18137
2020-02-05;348.9682
2020-02-06;248.09633
2020-02-07;281.79355
2020-02-10;345.93243
2020-02-11;295.83728
2020-02-12;335.2751
2020-02-13;325.73154
2020-02-14;341.33618
2020-02-17;336.0965
2020-02-18;315.03195
2020-02-19;311.10217
2020-02-20;314.12378
2020-02-21;356.0161
2020-02-24;313.8564
2020-02-25;353.10754
2020-02-26;351.75543
2020-02-27;308.75278
2020-02-28;303.06628
2020-03-02;300.2605
2020-03-03;311.9382
2020-03-04;331.93964
2020-03-05;323.71432
2020-03-06;340.9297
2020-03-09;287.7383
2020-03-10;298.16034
2020-03-11;307.11383
2020-03-12;291.20245
2020-03-13;312.809
2020-03-16;326.54663
2020-03-17;295.23132
2020-03-18;314.74475
2020-03-19;332.33823
2020-03-20;323.2739
2020-03-23;308.9433
2020-03-24;305.20087
2020-03-25;319.78073
2020-03-26;313.50684
2020-03-27;329.24963
2020-03-30;301.02448
2020-03-31;320.20718
2020-04-01;324.5215
2020-04-02;289.00357
2020-04-03;304.3612
2020-04-06;332.56305
2020-04-07;292.63284
2020-04-08;302.4957
2020-04-09;294.60925
2020-04-10;335.71002
2020-04-13;302.14618
2020-04-14;331.74585
2020-04-15;301.39575
2020-04-16;295.43784
2020-04-17;266.78027
2020-04-20;289.51318
2020-04-21;327.32248
2020-04-22;281.38632
2020-04-23;266.96658
2020-04-24;318.8264
2020-04-27;301.95816
2020-04-28;288.14056
2020-04-29;276.6365
2020-04-30;318.8043
2020-05-01;350.67377
2020-05-04;302.1521
2020-05-05;326.69458
2020-05-06;305.93265
2020-05-07;293.54932
2020-05-08;275.44406
2020-05-11;318.3434
2020-05-12;270.9582
2020-05-13;306.0798
2020-05-14;250.2226
2020-05-15;299.19815
2020-05-18;284.85223
2020-05-19;290.40005
2020-05-20;249.26012
2020-05-21;266.3173
2020-05-22;244.48633
2020-05-25;257.85556
2020-05-26;300.21988
2020-05-27;263.99768
2020-05-28;273.53296
2020-05-29;247.1046
2020-06-01;267.4003
2020-06-02;267.37036
2020-06-03;278.38794
2020-06-04;256.41266
2020-06-05;310.4457
2020-06-08;233.54366
2020-06-09;264.81445
2020-06-10;265.37482
2020-06-11;272.86133
2020-06-12;265.1621
2020-06-15;235.85785
2020-06-16;250.95486
2020-06-17;287.60345
2020-06-18;242.52213
2020-06-19;261.12128
2020-06-22;297.29446
2020-06-23;241.05916
2020-06-24;233.8263
2020-06-25;250.51389
2020-06-26;227.04797
2020-06-29;261.00327
2020-06-30;246.72742
2020-07-01;268.27026
2020-07-02;243.48393
2020-07-03;247.43867
2020-07-06;264.13104
2020-07-07;224.01682
2020-07-08;209.15811
2020-07-09;227.68024
2020-07-10;256.82098
2020-07-13;209.32382
2020-07-14;266.8285
2020-07-15;281.3677
2020-07-16;229.55258
2020-07-17;268.85568
2020-07-20;261.66284
2020-07-21;263.35324
2020-07-22;203.18616
2020-07-23;248.24301
2020-07-24;234.62665
2020-07-27;227.34306
2020-07-28;197.01483
2020-07-29;199.2608
2020-07-30;257.16504
2020-07-31;239.73256
2020-08-03;212.43521
2020-08-04;226.474
2020-08-05;225.86874
2020-08-06;238.68362
2020-08-07;226.35768
2020-08-10;234.10663
2020-08-11;201.42252
2020-08-12;283.5614
2020-08-13;165.07466
2020-08-14;212.39493
2020-08-17;223.35649
2020-08-18;203.74658
2020-08-19;180.39172
2020-08-20;193.4035
2020-08-21;189.95523
2020-08-24;233.56378
2020-08-25;247.55946
2020-08-26;232.10956
2020-08-27;196.62471
2020-08-28;222.66878
2020-08-31;225.5014
2020-09-01;230.8569
2020-09-02;193.81311
2020-09-03;214.10873
2020-09-04;237.95645
2020-09-07;221.95856
2020-09-08;231.37173
2020-09-09;224.24251
2020-09-10;229.22575
2020-09-11;226.96764
